Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,src_Name,src_IATA,src_City,src_Country,src_Latitude,src_Longitude,dest_Name,dest_IATA,dest_City,dest_Country,dest_Latitude,dest_Longitude
2P,897,GES,2402,MNL,2397,Y,0,320,General Santos International Airport,GES,Romblon,Philippines,6.058000087740001,125.096000671,Ninoy Aquino International Airport,MNL,Manila,Philippines,14.5086,121.019997
2P,897,MNL,2397,GES,2402,Y,0,320,Ninoy Aquino International Airport,MNL,Manila,Philippines,14.5086,121.019997,General Santos International Airport,GES,Romblon,Philippines,6.058000087740001,125.096000671
4M,3201,DFW,3670,EZE,3988,Y,0,777,Dallas Fort Worth International Airport,DFW,Dallas-Fort Worth,United States,32.896801,-97.038002,Ministro Pistarini International Airport,EZE,Buenos Aires,Argentina,-34.8222,-58.5358
4M,3201,EZE,3988,DFW,3670,Y,0,777,Ministro Pistarini International Airport,EZE,Buenos Aires,Argentina,-34.8222,-58.5358,Dallas Fort Worth International Airport,DFW,Dallas-Fort Worth,United States,32.896801,-97.038002
4M,3201,EZE,3988,JFK,3797,Y,0,777,Ministro Pistarini International Airport,EZE,Buenos Aires,Argentina,-34.8222,-58.5358,John F Kennedy International Airport,JFK,New York,United States,40.63980103,-73.77890015
4M,3201,JFK,3797,EZE,3988,Y,0,777,John F Kennedy International Airport,JFK,New York,United States,40.63980103,-73.77890015,Ministro Pistarini International Airport,EZE,Buenos Aires,Argentina,-34.8222,-58.5358
5N,503,ARH,4362,CSH,6110,Y,0,AN4,Talagi Airport,ARH,Arkhangelsk,Russia,64.60030364990234,40.71670150756836,Solovki Airport,CSH,Solovetsky Islands,Russia,65.0299987793,35.7333335876
5N,503,ARH,4362,MMK,2949,Y,0,AN4,Talagi Airport,ARH,Arkhangelsk,Russia,64.60030364990234,40.71670150756836,Murmansk Airport,MMK,Murmansk,Russia,68.78170013427734,32.75080108642578
5N,503,ARH,4362,USK,4369,Y,0,AN4,Talagi Airport,ARH,Arkhangelsk,Russia,64.60030364990234,40.71670150756836,Usinsk Airport,USK,Usinsk,Russia,66.00469970703125,57.3671989440918
5N,503,CSH,6110,ARH,4362,Y,0,AN4,Solovki Airport,CSH,Solovetsky Islands,Russia,65.0299987793,35.7333335876,Talagi Airport,ARH,Arkhangelsk,Russia,64.60030364990234,40.71670150756836
